ID,Name,Description,Category,MaxCount,PrefabAddress
MATERIAL_026,리치의 해골,강력한 마법사 리치의 해골. 불길한 마력이 뿜어져 나온다,고급,999,LichSkull
MATERIAL_027,미스릴 원석,가볍고 단단하기로 유명한 금속 미스릴의 원석,고급,999,MithrilOre
MATERIAL_028,오리하르콘 원석,전설의 금속 오리하르콘의 원석. 가공하기 매우 어렵다,고급,999,OrichalcumOre
MATERIAL_029,아다만타이트 원석,가장 단단하다고 알려진 금속 아다만타이트의 원석,고급,999,AdamantiteOre
MATERIAL_030,세계수의 가지,세계수의 기운이 깃든 나뭇가지,고급,999,WorldTreeBranch
MATERIAL_031,타락한 깃털,저주에 잠식된 까마귀의 검은 깃털,일반,999,CorruptedFeather
MATERIAL_032,노상강도의 두건,정체를 숨기기 위해 사용하던 낡은 두건,퀘스트,999,BanditsCowl
MATERIAL_033,제국 정찰병의 보고서,북방 경계를 순찰하던 정찰병이 작성한 낡은 보고서,퀘스트,999,ImperialScoutReport
MATERIAL_034,황금 잔,고대 왕실에서 사용했을 법한 화려한 황금 잔,퀘스트,999,GoldenGoblet
MATERIAL_035,마력이 깃든 실,마법 부여에 사용되는 특별한 실,일반,999,ManaThread
MATERIAL_036,고급 옷감,귀족들이나 사용할 법한 부드럽고 질긴 옷감,일반,999,FineCloth
MATERIAL_037,강철 주괴,여러 번의 제련을 거쳐 만들어진 단단한 강철 주괴,일반,999,SteelIngot
MATERIAL_038,은 주괴,신성한 힘을 지녀 마물들이 기피하는 은 주괴,일반,999,SilverIngot
MATERIAL_039,금 주괴,화려하게 빛나는 금 주괴. 보기만 해도 기분이 좋아진다,일반,999,GoldIngot
MATERIAL_040,보석 가루,다양한 보석을 갈아 만든 가루. 장식에 사용된다,일반,999,GemDust
MATERIAL_041,루비,정열적인 붉은 빛을 내는 보석,고급,999,Ruby
MATERIAL_042,사파이어,깊은 푸른 빛을 내는 보석,고급,999,Sapphire
MATERIAL_043,에메랄드,신비로운 녹색 빛을 내는 보석,고급,999,Emerald
MATERIAL_044,해적의 럼주,거친 해적들이 즐겨 마시는 독한 술,퀘스트,999,PirateRum
MATERIAL_045,밀수품 상자,그림자 상회가 몰래 들여온 상자. 무엇이 들었는지 알 수 없다,퀘스트,999,SmuggledBox
MATERIAL_046,바다뱀의 독니,강력한 맹독을 품고 있는 바다뱀의 이빨,일반,999,SeaSerpentFang
MATERIAL_047,산삼,깊은 산속에서만 자란다는 영험한 약초,일반,999,WildGinseng
MATERIAL_048,신비로운 버섯,먹으면 어떤 효과가 나타날지 모르는 신비로운 버섯,일반,999,MysticalMushroom
MATERIAL_049,질긴 고기,일반적인 방법으로는 조리하기 힘든 질긴 고기,일반,999,ToughMeat
MATERIAL_050,향기로운 허브,심신을 안정시키는 향을 내는 허브,일반,999,AromaticHerb
MATERIAL_051,얼음 수정,만년설의 차가운 기운이 뭉쳐 만들어진 수정,일반,999,IceCrystal
MATERIAL_052,불꽃의 정수,타오르는 불꽃의 힘이 응축된 정수,고급,999,EssenceOfFire
MATERIAL_053,대지의 숨결,단단한 바위의 기운이 담긴 흙,고급,999,BreathOfEarth
MATERIAL_054,바람의 결정,보이지 않는 바람의 힘이 뭉쳐 만들어진 결정,고급,999,CrystalOfWind
MATERIAL_055,빛의 정수,성스러운 빛의 힘이 담긴 정수,고급,999,EssenceOfLight
MATERIAL_056,어둠의 정수,심연의 어둠이 응축된 정수,고급,999,EssenceOfDarkness
MATERIAL_057,현자의 돌,모든 물질을 황금으로 바꿀 수 있다는 전설의 돌,고급,999,PhilosophersStone
MATERIAL_058,왕의 징표,왕가의 자손임을 증명하는 고대의 징표,퀘스트,999,KingsSeal
MATERIAL_059,영웅의 증표,세상을 구한 영웅에게 주어지는 명예로운 증표,퀘스트,999,MarkOfHero
MATERIAL_060,좀비의 체액,역병의 기운이 담겨 있는 좀비의 체액. 만지지 않는 것이 좋다,일반,999,ZombieFluid
MATERIAL_061,거미줄,질기고 튼튼한 거대 거미의 거미줄,일반,999,SpiderSilk
MATERIAL_062,박쥐 날개,동굴에 서식하는 박쥐의 작은 날개,일반,999,BatWing
MATERIAL_063,슬라임의 핵,슬라임의 중심에 있는 말랑한 핵,일반,999,SlimeCore
MATERIAL_064,사이렌의 노랫소리,사이렌의 매혹적인 노래가 담겨 있는 결정. 듣고 있으면 정신을 잃을 것 같다,퀘스트,999,SirenSong
MATERIAL_065,그리폰의 깃털,하늘의 왕 그리폰의 위엄 있는 깃털,고급,999,GryphonFeather
MATERIAL_066,미노타우로스의 뿔,미궁의 지배자 미노타우로스의 단단한 뿔,고급,999,MinotaurHorn
MATERIAL_067,켄타우로스의 부서진 활,켄타우로스가 사용하던 단단한 활. 지금은 부서졌다,퀘스트,999,CentaursBrokenBow
MATERIAL_068,실종된 아이의 인형,몬스터에게 납치된 아이가 떨어뜨린 낡은 인형,퀘스트,999,LostChildsDoll
MATERIAL_069,고대 왕국의 지도,잊혀진 왕국으로 가는 길이 그려진 낡은 지도,퀘스트,999,AncientKingdomMap
MATERIAL_070,해독초,강력한 독을 해독하는 데 사용되는 희귀한 약초,일반,999,AntidoteHerb
