KEY,ko-KR,en
WEAPON_DESC_017,"(몬스터) 산맥을 떠도는 바위 거인의 척추로 만들었다는 전설의 도끼. 타격 시 지면이 울린다.","(Monster) A legendary axe said to be made from the spine of a Rock Giant wandering the mountains. The ground trembles upon impact."
WEAPON_DESC_018,"성지로 향하는 순례자들이 강도로부터 몸을 지키기 위해 들고 다니는 작은 망치.","A small hammer carried by pilgrims heading to the Holy Land to protect themselves from bandits."
WEAPON_DESC_019,"[세라핀 전용] 세라핀이 루미나 탑에서 처음 기도를 배울 때 사용하던 작고 가벼운 기도봉.","[Seraphin Exclusive] A small light prayer rod that Seraphin used when she first learned her prayers at Lumina Tower."
WEAPON_DESC_020,"(몬스터) 잿빛 숲의 꿰매어진 피조물이 휘두르던 뼈 몽둥이. 여러 동물의 뼈를 조잡하게 엮어 만들었다.","(Monster) A bone club wielded by a Stitched Creation in the Ashen Forest. Crudely woven together from the bones of various animals."
WEAPON_DESC_021,"알케미아의 치안을 담당하는 도시 경비대의 제식 무기. 위압적인 외형을 가졌다.","The standard-issue weapon of the Alchemia City Guard responsible for the city's security. It has an intimidating appearance."
WEAPON_DESC_022,"[세라핀 전용] 루미나 탑의 성직자들이 사용하는 은으로 만든 메이스. 언데드에게 추가 피해를 준다.","[Seraphin Exclusive] A silver mace used by the clerics of Lumina Tower. It deals extra damage to the undead."
WEAPON_DESC_023,"(몬스터) 거대한 오우거의 뼈로 만든 철퇴. 육중한 무게로 모든 것을 부순다.","(Monster) A mace made from the bone of a giant ogre. Its immense weight crushes everything."
WEAPON_DESC_024,"[세라핀 전용] 내부에 신성한 유골 가루가 담겨있는 성물함. 타격 시 주변 아군의 체력을 소량 회복시킨다.","[Seraphin Exclusive] A reliquary containing sacred bone dust. Upon impact it slightly heals nearby allies."
WEAPON_DESC_025,"(몬스터) 바위 거인의 몸에서 떨어져 나온 파편으로 만든 둔기. 적중 시 높은 확률로 적을 기절시킨다.","(Monster) A club made from a fragment that fell from a Rock Giant's body. Has a high chance to stun enemies on hit."
WEAPON_DESC_026,"(몬스터) 루미나 탑 지하 묘소의 고대 수호령을 잠재우고 얻은 성스러운 망치. 언데드에게 절대적인 추가 피해를 입힌다.","(Monster) A sacred hammer obtained by putting the ancient guardian spirit of the Lumina Tower crypt to rest. It deals absolute extra damage to the undead."
WEAPON_DESC_027,"[세라핀 전용] 루미나 탑의 성물. 타격한 아군의 모든 디버프를 정화하고 적에게는 신성한 충격을 가한다.","[Seraphin Exclusive] A holy relic of Lumina Tower. It purifies all debuffs from an ally on hit and delivers a holy shock to enemies."
WEAPON_DESC_028,"[엘라라 전용] 엘라라가 처음으로 조합에 성공한 기념으로 만든 가장 기본적인 연금술 촉매 팔찌.","[Elara Exclusive] The most basic alchemy catalyst bracelet made by Elara to commemorate her first successful synthesis."
WEAPON_DESC_029,"[엘라라 전용] 알케미아의 급진적 연금술사 조직 '그라운드 서클'의 구성원임을 나타내는 증표. 폭발물의 위력을 소폭 증가시킨다.","[Elara Exclusive] A mark identifying the wearer as a member of the 'Ground Circle' a radical alchemist organization in Alchemia. Slightly increases the power of explosives."
WEAPON_DESC_030,"[엘라라 전용] 모든 비극의 시작 연금술사 볼테르의 것이라고 전해지는 유물. 모든 독의 효과와 지속시간을 증폭시킨다.","[Elara Exclusive] A relic said to have belonged to Voltaire the alchemist who started all the tragedy. It amplifies the effect and duration of all poisons."
WEAPON_DESC_031,"[엘라라 전용] 전설적인 연금술사가 만들었다는 궁극의 아티팩트. 모든 포션의 효과를 극대화하고 조합 시 일정 확률로 재료를 소모하지 않는다.","[Elara Exclusive] The ultimate artifact said to be created by a legendary alchemist. It maximizes the effects of all potions and has a chance to not consume materials during synthesis."
WEAPON_DESC_032,"숲에서 짐승을 사냥할 때 사용하는 평범한 나무 활. 가볍고 실용적이다.","A plain wooden bow used for hunting beasts in the forest. It is light and practical."
WEAPON_DESC_033,"제국군 정찰병이 사용하는 가벼운 활. 빠른 연사에 특화되어 있다.","A light bow used by Imperial scouts. It specializes in rapid firing."
WEAPON_DESC_034,"제국군 궁병에게 보급되는 장궁. 사거리가 길지만 사용하려면 숙련이 필요하다.","A longbow supplied to Imperial archers. It has a long range but requires skill to use."
WEAPON_DESC_035,"잿빛 숲의 뒤틀린 나무로 만든 활. 화살에 닿은 대상에게 확률적으로 '타락' 디버프를 건다.","A bow made from the twisted trees of the Ashen Forest. Arrows shot from it have a chance to inflict the 'Corruption' debuff."
WEAPON_DESC_036,"과거 드래곤스파인에서 용을 사냥했던 전설적인 사냥꾼의 활. 거대한 적에게 추가 피해를 입힌다.","The bow of a legendary hunter who once hunted dragons in Dragonspine. Deals extra damage to large enemies."
WEAPON_DESC_037,"바람의 흐름을 읽을 수 있다는 신비한 깃털로 장식된 활. 절대 빗나가지 않는다고 알려져 있다.","A bow decorated with a mystical feather that is said to read the flow of the wind. It is known to never miss its target."
WEAPON_DESC_038,"기사 서임식 때 받는 기본적인 롱소드. 제국의 문장이 희미하게 새겨져 있다.","A basic longsword received at a knighting ceremony. The imperial crest is faintly engraved on it."
WEAPON_DESC_039,"[리온 전용] 리온이 어릴 적부터 사용해온 훈련용 검. 손때가 묻어있다.","[Lion Exclusive] The training sword Lion has used since he was a child. It is worn from use."
WEAPON_DESC_040,"북방의 추위와 언데드를 상대로 싸우는 스텔라문드 수비대의 제식 검. 실용적이고 튼튼하다.","The standard-issue sword of the Stellamund garrison who fight against the cold and the undead of the North. It is practical and sturdy."
WEAPON_DESC_041,"포르투나의 용병들이 선호하는 구부러진 검. 베기 공격에 특화되어 있다.","A curved sword favored by the mercenaries of Fortuna. It specializes in slashing attacks."
WEAPON_DESC_042,"[리온 전용] 리온이 용기사 생도가 되며 받은 검. 가문의 맹세가 새겨져 있다.","[Lion Exclusive] The sword Lion received when he became a Dragon Knight cadet. The family oath is engraved on it."
WEAPON_DESC_043,"포르투나 항구를 공포에 떨게 했던 어느 해적 선장의 검. 손잡이에 이국적인 보석이 박혀있다.","The sword of a pirate captain who once terrorized the port of Fortuna. An exotic gem is embedded in the hilt."
WEAPON_DESC_044,"정화단이 언데드와 이단자를 심판할 때 사용하는 검. 태양신의 축복으로 약한 화염 피해를 추가로 입힌다.","A sword used by the Purifiers to judge the undead and heretics. Blessed by the Sun God it deals additional fire damage."
WEAPON_DESC_045,"[리온 전용] 온두리스 가문의 적자에게만 전해지는 보검. 강력한 용의 기운이 깃들어 있다.","[Lion Exclusive] An heirloom sword passed down only to the true heir of the Onduris family. It is imbued with a powerful draconic aura."
WEAPON_DESC_046,"온건파 용기사 가문 바벤베르크의 기사들이 선호하는 검. 빠르고 정확한 찌르기에 특화되어 있다.","A sword favored by the knights of the moderate Bavenberg family. It specializes in fast and precise thrusts."
WEAPON_DESC_047,"[리온 전용] 용기사 온두리스 가문에 대대로 전해져 내려오는 보검. 사용자의 용기에 반응하여 칼날이 빛을 발한다.","[Lion Exclusive] An heirloom sword passed down through generations of the Onduris family. The blade glows in response to the wielder's courage."
WEAPON_DESC_048,"솔라리움 제국의 첫 황제가 사용했다고 전해지는 전설의 검. 실제로 태양신의 권능을 비추는 검으로 죽음의 저주를 상대로 진정한 힘을 보여준다.","A legendary sword said to have been wielded by the first emperor of the Solarium Empire. As a blade that truly reflects the authority of the Sun God it reveals its true power against the curse of death."
WEAPON_DESC_049,"마을을 지키는 민병대가 급조한 석궁. 위력은 약하지만 없는 것보단 낫다.","A crudely made crossbow jury-rigged by the town militia. It's weak but better than nothing."
WEAPON_DESC_050,"먼 길을 떠나는 상단을 호위하는 용병들이 사용하는 석궁. 휴대성과 위력의 균형을 맞췄다.","A crossbow used by mercenaries guarding caravans on long journeys. It strikes a balance between portability and power."
WEAPON_DESC_051,"드워프의 기술력으로 만들어진 석궁. 재장전 시간을 단축시키는 기계 장치가 달려있다.","A crossbow built with dwarven technology. It has a mechanical device that reduces reload time."
WEAPON_DESC_052,"은밀하게 목표를 추적하는 암살자들이 사용하는 석궁. 소음이 거의 없고 치명타 확률이 높다.","A crossbow used by assassins who secretly track their targets. It makes almost no noise and has a high critical hit chance."
WEAPON_DESC_053,"정화단 정예병이 사용하는 강력한 석궁. 갑옷을 꿰뚫을 만큼 위력적이지만 재장전 속도가 매우 느리다.","A powerful crossbow used by elite Purifier soldiers. It's strong enough to pierce armor but its reload speed is very slow."
WEAPON_DESC_054,"태양신교의 광신도들이 이단자를 처단하기 위해 만든 성물 석궁. 발사된 볼트는 신성한 빛에 휩싸여 폭발한다.","A sacred crossbow created by zealots of the Sun God cult to execute heretics. The fired bolt is engulfed in holy light and explodes."
WEAPON_DESC_055,"마법을 처음 배우는 학생들이 사용하는 평범한 나무 지팡이. 마나를 증폭하는 효과는 거의 없다.","A plain wooden staff used by students first learning magic. It has almost no mana amplification effect."
WEAPON_DESC_056,"루미나 탑 주변의 유적을 지키는 존재들이 사용하던 지팡이. 신성 마법의 위력을 증폭시킨다.","A staff used by the entities that guard the ruins around Lumina Tower. It amplifies the power of holy magic."
WEAPON_DESC_057,"(몬스터) 저주에 잠식된 마법사가 사용하던 지팡이. 강력한 암흑 마법을 구사할 수 있지만 사용자의 생명력을 조금씩 갉아먹는다.","(Monster) A staff used by a mage consumed by the curse. It can cast powerful dark magic but it slowly eats away at the wielder's life force."
WEAPON_DESC_058,"적을 타격할 때마다 마나를 흡수하는 기묘한 흑단목 지팡이. 마법사들 사이에서 암암리에 거래된다.","A strange ebony staff that absorbs mana on hit. It is secretly traded among mages."
WEAPON_DESC_059,"(몬스터) 끝없는 반도의 리치 로드가 사용하던 지팡이. 죽은 자를 일으키는 불길한 힘이 깃들어 있다.","(Monster) The staff used by the Lich Lord of the Endless Peninsula. It is imbued with a sinister power to raise the dead."
WEAPON_DESC_060,"세상의 시작과 함께했다는 거대한 나무의 가지로 만들었다는 지팡이. 모든 자연 계열 마법의 위력을 극대화한다.","A staff said to be made from a branch of the great tree that existed at the beginning of the world. It maximizes the power of all nature-based magic."
WEAPON_DESC_061,"끝을 뾰족하게 깎은 나무 창. 만들기 쉽지만 내구도는 약하다.","A wooden spear with a sharpened tip. It's easy to make but not very durable."
WEAPON_DESC_062,"제국군 보병의 표준 장비. 방패 진형 뒤에서 적을 찌르기에 용이하다.","The standard equipment for Imperial infantry. Useful for thrusting at the enemy from behind a shield wall."
WEAPON_DESC_063,"드래곤스파인의 와이번 기수들이 사용하는 랜스. 돌격 시 파괴적인 위력을 발휘한다.","A lance used by the Wyvern Riders of Dragonspine. It displays destructive power during a charge."
WEAPON_DESC_064,"하늘에서 떨어진 운석으로 만들었다는 전설의 창. 어떤 방패나 갑옷도 꿰뚫는다고 한다.","A legendary spear said to be crafted from a fallen meteorite. It is said to pierce any shield or armor."
MATERIAL_DESC_001,"(몬스터) 북부의 거친 황무지를 배회하는 굶주린 늑대의 어금니.","(Monster) The fang of a starving wolf that wanders the harsh northern wastes."
MATERIAL_DESC_002,"(몬스터) 북벽 너머에서 넘어온 하급 마족의 것으로 보이는 단단한 뼈.","(Monster) A hard bone believed to belong to a lesser demon from beyond the North Wall."
MATERIAL_DESC_003,"오래전에 발행된 구리 주화. 지금은 거의 사용되지 않아 수집가들이 찾는다.","An old copper coin issued long ago. It is rarely used now and sought after by collectors."
MATERIAL_DESC_004,"과거 제국군이 사용하던 깃발의 일부로 보이는 색이 바랜 천 조각.","A piece of faded cloth seemingly part of a flag once used by the Imperial Army."
MATERIAL_DESC_005,"추운 황무지에서만 자라는 약간의 온기를 품고 있는 풀.","A grass that only grows in the cold wastes containing a slight warmth."
MATERIAL_DESC_006,"(몬스터) 성지를 지키는 언데드 성기사의 뼈에서 나온 은은한 빛을 내는 가루.","(Monster) A faintly glowing powder from the bones of an undead holy knight guarding the sacred grounds."
MATERIAL_DESC_007,"루미나 탑 주변에서만 발견되는 마법의 힘이 깃든 희귀한 돌의 파편.","A fragment of a rare magic-infused stone found only around Lumina Tower."
MATERIAL_DESC_008,"태양신교의 교리가 적혀있던 것으로 보이는 낡고 해진 양피지 조각.","A worn and tattered piece of parchment seemingly once inscribed with the doctrines of the Sun God cult."
MATERIAL_DESC_009,"성지를 방문한 순례자들이 남기고 간 태양 문양의 작은 목걸이.","A small sun-crested necklace left behind by pilgrims who visited the Holy Land."
MATERIAL_DESC_010,"성지의 사제들이 축성한 부정한 것을 물리치는 효과가 있다고 알려진 소금.","Salt consecrated by the priests of the Holy Land known to have the effect of warding off the profane."
MATERIAL_DESC_011,"(몬스터) 도시를 배회하는 고장 난 자동인형의 동력원.","(Monster) The power source of a broken automaton that wanders the city."
MATERIAL_DESC_012,"수도의 거대한 건축물에 쓰이고 남은 장식용으로 쓸만한 대리석 조각.","A piece of marble leftover from the capital's grand constructions suitable for decoration."
MATERIAL_DESC_013,"귀족 가문들이 편지를 봉할 때 사용하는 고급스러운 문양이 새겨진 밀랍 덩어리.","A lump of wax with a luxurious crest used by noble families to seal letters."
MATERIAL_DESC_014,"도시의 상점에서만 거래되는 일반 약초보다 효능이 뛰어난 약초.","An herb traded only in city shops superior in efficacy to common herbs."
MATERIAL_DESC_015,"정교한 자수가 놓인 어느 귀족이 떨어뜨린 것으로 보이는 비단 손수건.","A silk handkerchief with exquisite embroidery seemingly dropped by a noble."
MATERIAL_DESC_016,"(몬스터) 해안가를 기어 다니는 거대 바다게의 단단한 집게발.","(Monster) The hard pincer of a giant sea crab that crawls along the coast."
MATERIAL_DESC_017,"항구에서 사용되다 버려진 소금물에 절여진 밧줄 조각.","A piece of salt-soaked rope discarded after use at the port."
MATERIAL_DESC_018,"동방 대륙과의 교역을 통해 들어온 독특한 향을 내는 귀한 향신료.","A precious spice with a unique aroma imported through trade with the Eastern continent."
MATERIAL_DESC_019,"보물이 숨겨진 곳을 가리키는 듯한 낡고 해독하기 어려운 지도 조각.","A worn and hard-to-decipher map fragment that seems to point to a hidden treasure."
MATERIAL_DESC_020,"항구의 어부들도 좀처럼 보기 힘든 깊은 바다 물고기의 뼈.","The bone of a deep-sea fish rarely seen even by the fishermen of the port."
MATERIAL_DESC_021,"(몬스터) 산맥에 둥지를 튼 와이번의 강철도 긁어내는 날카로운 발톱.","(Monster) The sharp claw of a wyvern nesting in the mountains capable of scratching steel."
MATERIAL_DESC_022,"험준한 바위산을 오가는 산양의 단단한 뿔.","The hard horn of a mountain goat that traverses rugged rocky mountains."
MATERIAL_DESC_023,"이 지역의 정령에게서만 얻을 수 있다는 차가운 기운의 파편.","A fragment of cold energy said to be obtainable only from the spirits of this region."
MATERIAL_DESC_024,"드워프들이나 찾을 수 있다는 산맥 깊은 곳의 희귀한 금속 광맥.","A rare metal vein deep in the mountains said to be findable only by dwarves."
MATERIAL_DESC_025,"산맥의 드워프 대장장이가 만들었을 법한 투박하지만 튼튼한 맥주잔.","A crude but sturdy beer mug likely crafted by a dwarven blacksmith in the mountains."
MATERIAL_DESC_026,"(몬스터) '죽음의 저주'에 잠식된 망령에게서만 얻을 수 있는 정수.","(Monster) An essence obtainable only from a wraith consumed by the 'Curse of Death'."
MATERIAL_DESC_027,"대규모 건축에 사용된 마법으로 강화된 거대한 성벽의 조각.","A fragment from the massive magically reinforced wall used in large-scale construction."
MATERIAL_DESC_028,"북벽 너머의 혹독한 추위 속에서만 자라는 생명력이 강한 이끼.","A resilient moss that grows only in the harsh cold beyond the North Wall."
MATERIAL_DESC_029,"북벽 너머 미지의 존재의 것으로 보이는 곱게 갈린 뼛가루.","Finely ground bone powder believed to be from an unknown entity from beyond the North Wall."
MATERIAL_DESC_030,"혹한 속에서도 얼어붙은 채 발견된 누구의 것인지 알 수 없는 피.","Blood found frozen solid in the harsh cold its origin unknown."
MATERIAL_DESC_031,"(몬스터) 잿빛 숲의 타락에 잠식된 까마귀의 깃털. 불길한 기운이 느껴진다.","(Monster) The feather of a crow consumed by the corruption of the Ashen Forest. It exudes a sinister aura."
MATERIAL_DESC_032,"언데드의 습격으로 파괴된 마을의 잔해. 희미하게 온기가 남아있는 듯하다.","The remnant of a village destroyed by an undead attack. It seems to retain a faint warmth."
MATERIAL_DESC_033,"북방의 추위 속에서 전사한 병사의 유품. 주인의 이름은 닳아서 보이지 않는다.","The keepsake of a soldier who fell in the northern cold. The owner's name is worn away."
MATERIAL_DESC_034,"(몬스터) 잿빛 숲의 그림자 표범에게서만 얻을 수 있는 가죽. 빛을 흡수하는 듯한 기묘한 특성이 있다.","(Monster) A hide obtainable only from the Shadow Leopards of the Ashen Forest. It has a strange property of seemingly absorbing light."
MATERIAL_DESC_035,"(몬스터) 잿빛 숲의 타락한 존재들이 쓰러진 자리에 남는 검은 먼지. 강력한 연금술의 재료가 된다.","(Monster) Black dust left behind where the corrupted beings of the Ashen Forest fall. It serves as a potent alchemical ingredient."
MATERIAL_DESC_036,"은빛 형제단의 교리가 빼곡히 적힌 작은 책. 광적인 믿음이 느껴진다.","A small book filled with the doctrines of the Silver Brotherhood. A fanatical belief emanates from it."
MATERIAL_DESC_037,"(몬스터) 성지를 더럽히다 쓰러진 순례자의 유해. 신성력과 타락의 기운이 뒤섞여 있다.","(Monster) The remains of a pilgrim who fell while defiling the Holy Land. Sacred power and corrupted energy are mixed within."
MATERIAL_DESC_038,"루미나 탑의 오래된 성화에서 떨어져 나온 그림 조각. 고대의 화풍을 엿볼 수 있다.","A piece of a painting that has fallen from an old fresco in Lumina Tower. It offers a glimpse into an ancient artistic style."
MATERIAL_DESC_039,"세라핀을 추적하는 재판관이 떨어뜨린 교단의 인장. 은밀한 거래에 사용될 수 있다.","The seal of the order dropped by an Inquisitor tracking Seraphin. It could be used for clandestine dealings."
MATERIAL_DESC_040,"(몬스터) 연금술 폐기물로 변이된 거대 쥐의 꼬리. 이상한 점액질로 덮여 있다.","(Monster) The tail of a giant rat mutated by alchemical waste. It is covered in a strange slime."
MATERIAL_DESC_041,"(몬스터) 알케미아 지하 수로의 슬라임에게서 발견되는 핵. 동력원으로 사용할 수 있을 것 같다.","(Monster) A core found in the slimes of the Alchemian underground waterways. It seems it could be used as a power source."
MATERIAL_DESC_042,"그라운드 서클의 지하 연구소에서 몰래 빼돌려진 정체불명의 물질. 불안정하게 맥동하고 있다.","An unidentified substance secretly removed from the Ground Circle's underground lab. It pulses unstably."
MATERIAL_DESC_043,"엘라라와 같은 급진적 연금술사들이 소속된 '그라운드 서클'의 증표.","The mark of the 'Ground Circle' a radical alchemist group to which members like Elara belong."
MATERIAL_DESC_044,"(몬스터) 포르투나 근해를 배회하는 해적의 것. 땀과 소금기에 절어있다.","(Monster) Belongs to a pirate wandering the seas near Fortuna. It is soaked in sweat and brine."
MATERIAL_DESC_045,"그림자 상회와 밀수업자 사이에 오가는 비밀스러운 메시지. 해독하기 어렵다.","A secret message passed between the Shadow Merchants and smugglers. It is difficult to decipher."
MATERIAL_DESC_046,"(몬스터) 지하 동굴에 서식하는 거대 바다 거미의 맹독 주머니. 강력한 독을 만드는데 쓰인다.","(Monster) The potent venom sac of a giant sea spider that inhabits underground caves. Used to create powerful poisons."
MATERIAL_DESC_047,"고대 용의 둥지에 남아있는 용의 비늘. 강철보다 단단하고 불에 타지 않는다.","A dragon scale remaining in an ancient dragon's nest. It is harder than steel and does not burn."
MATERIAL_DESC_048,"(몬스터) 용의 보물을 지키는 골렘의 심장. 지금도 희미하게 빛을 발하며 에너지를 내뿜는다.","(Monster) The heart of a golem guarding a dragon's treasure. It still faintly glows emitting energy."
MATERIAL_DESC_049,"용기사 가문 온두리스에서만 양조하는 고급 와인. 강렬하고 묵직한 맛이 특징이다.","A fine wine brewed only by the Onduris Dragon Knight family. It is characterized by its strong heavy flavor."
MATERIAL_DESC_050,"온건파 용기사 가문 바벤베르크에서 사용하는 부드러운 비단. 가문의 문장이 수놓아져 있다.","A soft silk used by the moderate Bavenberg Dragon Knight family. The family crest is embroidered on it."
MATERIAL_DESC_051,"(몬스터) 어둠의 성채를 지배하는 리치 로드를 처치해야만 얻을 수 있는 영혼의 파편. 만지는 것만으로도 정신이 아득해진다.","(Monster) A fragment of a soul that can only be obtained by defeating the Lich Lord who rules the Dark Citadel. Just touching it makes one's mind go blank."
MATERIAL_DESC_052,"(몬스터) 죽음의 저주에 잠식된 데스 나이트의 갑옷 조각. 한때 신성했을 문양이 검게 물들어 있다.","(Monster) A piece of armor from a Death Knight consumed by the curse of death. The once-sacred crest is stained black."
MATERIAL_DESC_053,"죽음의 저주가 가장 짙게 깔린 땅의 흙. 모든 생명을 거부하는 기운을 내뿜는다.","Soil from the land where the curse of death is most concentrated. It radiates an aura that rejects all life."
MATERIAL_DESC_054,"개조인간이 가지고 있던 성물의 조각. 신화 시대의 유물로 세계의 운명을 바꿀 수 있는 힘을 지녔다.","A fragment of a relic held by the cybernetic human. An artifact from the Age of Myths it possesses the power to change the world's destiny."
MATERIAL_DESC_055,"(몬스터) 여러 시체를 꿰매 만든 피조물을 묶고 있던 삭아버린 밧줄. 강한 원혼이 깃들어 있다.","(Monster) The decaying rope that bound a creature stitched together from multiple corpses. A strong grudge resides within it."
MATERIAL_DESC_056,"(몬스터) 개조된 수비대장 마리우스의 동력원. 푸른 광채가 꺼졌지만 여전히 막대한 에너지를 품고 있다.","(Monster) The power source of the modified Captain Marius. Its blue radiance has faded but it still holds immense energy."
MATERIAL_DESC_057,"모든 비극의 배후 '볼테르'가 남긴 연구 일지의 찢겨진 일부.","A torn page from the research journal left behind by 'Voltaire' the mastermind behind all the tragedy."
MATERIAL_DESC_058,"태양교단의 지원을 받는 사설 무력 단체 '정화단'의 증표. '불꽃으로 정화되는 눈동자' 모양이 새겨져 있다.","The mark of the 'Purifiers' a private armed group supported by the Sun God cult. An 'eye being purified by flame' is engraved on it."
MATERIAL_DESC_059,"정화단의 폭정에 맞서는 비밀 조직 '그림자 등불단'의 휘장. 어둠 속에서 희미하게 빛나는 등불 모양이다.","The crest of the 'Shadow Lanterns' a secret organization opposing the tyranny of the Purifiers. It is shaped like a lantern glowing faintly in the dark."
MATERIAL_DESC_060,"(몬스터) 망령이나 유령 같은 무형의 언데드에게서만 얻을 수 있는 영적인 잔류물.","(Monster) A spiritual residue obtainable only from formless undead such as wraiths and ghosts."
MATERIAL_DESC_061,"(몬스터) 루미나 탑을 지키는 돌 가고일의 몸에서 떨어져 나온 조각. 마법에 대한 저항력이 높다.","(Monster) A fragment from the body of a stone gargoyle guarding Lumina Tower. It has high resistance to magic."
MATERIAL_DESC_062,"알케미아의 마법 폐기물 근처에서 자라는 버섯. 불안정한 마나를 방출하여 환각을 일으킨다.","A mushroom that grows near magical waste in Alchemia. It emits unstable mana causing hallucinations."
MATERIAL_DESC_063,"(몬스터) 포르투나 근해의 심해에 산다는 거대 크라켄의 주머니. 이 먹물은 빛조차 삼킨다.","(Monster) The sac of a giant kraken said to live in the deep seas near Fortuna. This ink swallows even light."
MATERIAL_DESC_064,"(몬스터) 아름다운 노래로 선원들을 유혹하는 사이렌의 비늘. 매혹적인 무지갯빛을 띤다.","(Monster) The scale of a siren who lures sailors with beautiful songs. It has an enchanting iridescent sheen."
MATERIAL_DESC_065,"끝없는 반도의 저주받은 땅에서만 피어나는 검은 꽃의 잎. 만지기만 해도 생명력을 빼앗긴다.","The petal of a black flower that blooms only in the cursed lands of the Endless Peninsula. Merely touching it drains one's life force."
MATERIAL_DESC_066,"드래곤스파인 산맥의 고대 용의 피가 스며든 돌. 뜨거운 용의 기운을 품고 있다.","A stone soaked in the blood of an ancient dragon from the Dragonspine Mountains. It holds the fiery energy of a dragon."
MATERIAL_DESC_067,"죽음의 기운이 응축되어 만들어진 검은 수정. 어둠 마법을 증폭시키는 데 사용된다.","A black crystal formed from condensed death energy. It is used to amplify dark magic."
